donor_id,date,volunteer_ids,recipient_ids,part_food_types,part_weights,transport,scale
4,6/29/2012,19,20,,55,Bike,
19,6/29/2012,20,21,,3,Bike,
3,6/29/2012,63,14,Produce,0,Bike,
6,6/29/2012,22,10,,160,Bike,
25,6/29/2012,23,22,,3,Foot,
24,6/29/2012,23,22,,2,Foot,
1,6/29/2012,19,20,,150,Bike,
1,6/29/2012,25,,,20,Bike,
27,6/29/2012,27,26,,50,Bike,
2,6/29/2012,21,8,Produce,110,Bike,
3,6/30/2012,34,,Produce,0,Bike,
4,6/30/2012,29,22,Produce,280,Car,
6,6/30/2012,,28,Produce,40,Bike,
24,6/30/2012,,29,,0,Bike,
25,6/30/2012,,29,Baked Goods,15,Bike,
2,6/30/2012,30,29,,205,Bike,
1,6/30/2012,28,26,,375,Bike,
6,6/30/2012,31,26,,160,Bike,
6,6/30/2012,36,30,,125,Bike,
33,6/30/2012,,,,30,Bike,
6,7/1/2012,4,5,Produce,250,Car,
2,7/1/2012,7,5,,250,Car,
1,7/1/2012,13,8,,593,Bike,
3,7/1/2012,36,9,,5,Car,
4,7/1/2012,14,5,,130,Bike,
24,7/2/2012,40,,,10,Bike,
24,7/2/2012,40,,,10,Bike,
6,7/2/2012,3,7,,110,Bike,
2,7/2/2012,12,15,Produce,5,Bike,
3,7/2/2012,47,14,,84,Car,
1,7/2/2012,39,,,60,Bike,
4,7/2/2012,28,11,,0,Bike,
2,7/3/2012,32,35,Produce,0,Bike,
3,7/3/2012,7,14,Produce,0,Bike,
1,7/3/2012,42,18,,295,Bike,
4,7/3/2012,15,,,35,Bike,
1,7/3/2012,13,34,,25,Bike,
6,7/3/2012,46,15,,130,Bike,
19,7/3/2012,16,,,0,Bike,
4,7/4/2012,7,,,100,Bike,
1,7/4/2012,39,7,,150,Bike,
3,7/4/2012,52,14,,0,Bike,
25,7/4/2012,53,39,,0,Bike,
24,7/4/2012,53,39,,0,Bike,
6,7/4/2012,54,10,,0,Bike,
4,7/4/2012,32,,,60,Bike,
6,7/4/2012,12,40,Produce,0,Bike,
2,7/4/2012,12,38,Produce,150,Bike,
43,7/5/2012,48,44,Frozen Prepared Food,0,Bike,
2,7/5/2012,57,38,Produce,45,Bike,
36,7/5/2012,47,41,,40,Car,
4,7/5/2012,56,10,,4,Foot,
27,7/5/2012,24,18,,20,Bike,
3,7/5/2012,59,14,,48,Bike,
6,7/5/2012,2,7,,92,Bike,
1,7/5/2012,66,10,Produce,100,Bike,
3,7/6/2012,26,14,Produce,36,Bike,
1,7/6/2012,25,,Baked Goods,20,Bike,
4,7/6/2012,63,20,Produce,65,Bike,
1,7/6/2012,63,20,Produce,145,Bike,
2,7/6/2012,21,8,Produce,125,Bike,
25,7/6/2012,32,22,,10,Bike,
24,7/6/2012,32,22,,7,Bike,
19,7/6/2012,20,28,,25,Bike,
3,7/6/2012,7,14,,416,Car,
27,7/6/2012,27,26,,0,Bike,
6,7/6/2012,96,10,Produce,140,Bike,
6,7/7/2012,69,28,,3,Bike,
3,7/7/2012,62,,Produce,70,Bike,
25,7/7/2012,12,29,Baked Goods,0,Bike,
24,7/7/2012,12,29,Fresh Prepared Food,3,Bike,
4,7/7/2012,29,22,Produce,175,Bike,
2,7/7/2012,30,29,,280,Bike,
1,7/7/2012,28,26,,390,Bike,
6,7/7/2012,31,26,,145,Bike,
6,7/7/2012,32,30,,0,Bike,
33,7/7/2012,,,,100,Bike,
1,7/7/2012,65,,Produce,175,Bike,
6,7/8/2012,4,5,Baked Goods,0,Car,
